Date,Open,High,Low,Close,AdjClose,Volume
5/23/2019,27200,28025,26700,28025,27378.91797,10985200
5/24/2019,28050,28150,28025,28050,27403.3418,7480400
5/27/2019,27675,28500,27650,28425,27769.69727,13712800
5/28/2019,28275,28850,28275,28675,28013.93359,41984600
5/29/2019,29000,29475,28650,28700,28038.35547,26608900
5/30/2019,28700,28700,28700,28700,28038.35547,0
5/31/2019,28700,29350,28675,29100,28429.13477,19375000
6/3/2019,29100,29100,29100,29100,28429.13477,0
6/4/2019,29100,29100,29100,29100,28429.13477,0
6/5/2019,29100,29100,29100,29100,28429.13477,0
6/6/2019,29100,29100,29100,29100,28429.13477,0
6/7/2019,29100,29100,29100,29100,28429.13477,0
6/10/2019,30000,30950,29050,29400,28722.21875,35847600
6/11/2019,29500,29800,29225,29550,28868.76172,14580200
6/12/2019,29200,29500,29100,29225,28551.25195,13851100
6/13/2019,29425,29425,28950,29025,28355.86328,15760500
6/14/2019,29225,29225,28950,29000,28331.43945,11444100
6/17/2019,29050,29200,28950,28975,28307.01563,16724800
6/18/2019,28975,29500,28975,29500,28819.91211,15757600
6/19/2019,null,null,null,null,null,null
6/20/2019,29500,29700,29025,29550,28868.76172,11900900
6/21/2019,29550,29675,29200,29400,28722.21875,28829800
6/24/2019,29475,29500,29325,29375,28697.79492,6016800
6/25/2019,29650,29800,29375,29550,28868.76172,8112300
6/26/2019,29700,29700,29300,29325,28648.94727,11866900
6/27/2019,29250,29675,29025,29675,28990.88086,15505000
6/28/2019,29900,29975,29800,29975,29283.96289,16183800
7/1/2019,29975,30125,29825,29950,29259.53711,11322500
7/2/2019,29950,30000,29750,30000,29308.38672,9712700
7/3/2019,29750,30000,29700,30000,29308.38672,8728000
7/4/2019,30000,30050,29825,29950,29259.53711,5644900
7/5/2019,30100,30100,29850,29850,29161.84375,6544500
7/8/2019,29675,29800,29325,29400,28722.21875,7672200
7/9/2019,29350,30000,29350,30000,29308.38672,9548100
7/10/2019,30000,30200,29975,30000,29308.38672,10436700
7/11/2019,30100,30125,29900,30125,29430.50586,6855900
7/12/2019,30000,30150,29975,30050,29357.23242,5967600
7/15/2019,30300,30575,30175,30525,29821.2832,12290700
7/16/2019,30400,30525,30350,30425,29723.58789,7615000
7/17/2019,30400,30750,30225,30750,30041.0957,9097400
7/18/2019,30500,30850,30275,30725,30016.67383,8725100
7/19/2019,30975,31050,30750,31000,30285.33398,8794700
7/22/2019,31300,31450,31000,31450,30724.95898,7462900
7/23/2019,31200,31450,31025,31175,30456.29883,7825900
7/24/2019,31300,31325,30825,31250,30529.56836,10268700
7/25/2019,31350,31375,31000,31250,30529.56836,10695500
7/26/2019,31250,31250,30950,30975,30260.9082,10359500
7/29/2019,31100,31150,30800,30950,30236.48438,13701900
7/30/2019,31025,31250,30950,31100,30383.02539,7645100
7/31/2019,30950,31200,30900,30950,30236.48438,12825800
8/1/2019,30950,31350,30925,31050,30334.17969,15645600
8/2/2019,30800,31025,30800,30825,30114.36523,12597900
8/5/2019,31075,31075,30000,30000,29308.38672,18184800
8/6/2019,29400,29775,28825,29400,28722.21875,36659200
8/7/2019,29875,30250,29525,30050,29357.23242,18420400
8/8/2019,30050,30400,29900,30025,29332.80859,11659100
8/9/2019,30275,30600,30275,30325,29625.89453,9623700
8/12/2019,30350,30400,30000,30200,29503.77539,10541000
8/13/2019,30000,30200,30000,30075,29381.6582,16881200
8/14/2019,30200,30300,29900,30050,29357.23242,16388400
8/15/2019,29600,30000,29300,30000,29308.38672,10512300
8/16/2019,30200,30200,29800,29800,29112.99609,9964300
8/19/2019,30150,30150,29825,30075,29381.6582,6123800
8/20/2019,30175,30175,29925,29925,29235.11523,11678700
8/21/2019,30000,30025,29875,29875,29186.26953,11185500
8/22/2019,29625,30000,29600,30000,29308.38672,13177600
8/23/2019,29600,29975,29525,29975,29283.96289,6616700
8/26/2019,29700,30000,29300,29950,29259.53711,8277700
8/27/2019,30200,30200,29750,30025,29332.80859,24756000
8/28/2019,30000,30100,29925,29975,29283.96289,11137600
8/29/2019,29950,30125,29925,30025,29332.80859,10305100
8/30/2019,30400,30500,30025,30500,29796.85938,14730000
9/2/2019,30500,30500,30000,30000,29308.38672,8485800
9/3/2019,30000,30275,30000,30275,29577.04883,8548700
9/4/2019,30300,30300,30025,30100,29406.08008,8395800
9/5/2019,30425,30425,30075,30200,29503.77539,10730100
9/6/2019,30300,30300,30125,30125,29430.50586,10869800
9/9/2019,30250,30275,29900,30175,29479.35156,5182400
9/10/2019,30100,30275,29925,30275,29577.04883,8058200
9/11/2019,30250,30500,30050,30500,29796.85938,9048700
9/12/2019,30500,30525,30050,30100,29406.08008,8006800
9/13/2019,30400,30450,30050,30150,29454.92773,5683900
9/16/2019,30000,30075,29925,30025,29332.80859,15457800
9/17/2019,29950,30175,29925,30150,29454.92773,18407500
9/18/2019,29950,30200,29950,30200,29503.77539,5733400
9/19/2019,30075,30225,30000,30150,29454.92773,12397700
9/20/2019,30250,30250,29950,29950,29259.53711,26686600
9/23/2019,30150,30150,30000,30125,29430.50586,9446300
9/24/2019,29900,30000,29700,29725,29039.72656,15943700
9/25/2019,29500,29675,28900,29675,28990.88086,17724000
9/26/2019,30000,30300,29850,30300,29601.4707,21971800
9/27/2019,30025,30375,30000,30350,29650.31641,9602000
9/30/2019,30350,30350,30025,30350,29650.31641,14678200
10/1/2019,30050,30325,30050,30200,29503.77539,8011400
